,%spendhighimprshare,KS,cost,cost_on_high_imprshare,portfolio_id,ports
1780,1.0,KS6226,897.1199932299997,897.1199932299997,6097.0,6097.0
1216,1.0,KS6173,895.7999935099998,895.7999935099998,4197.0,4197.0
46,1.0,KS1120,893.2899890100001,893.2899890100001,803.0,803.0
1050,0.9947351637279759,KS7232,888.9164996200001,884.23649979,11218.0,11218.0
59,1.0,KS3704,879.7599997799999,879.7599997799999,154.0,154.0
1715,1.0,KS7232,878.9000015299999,878.9000015299999,14329.0,14329.0
175,0.9525388704331453,KS3385,919.6999925700001,876.04999206,675.0,675.0
1252,1.0,KS6226,870.25999737,870.25999737,4280.0,4280.0
203,1.0,KS3385,865.2200045700002,865.2200045700002,720.0,720.0
2808,1.0,KS6226,854.6000025499999,854.6000025499999,8810.0,8810.0
23,1.0,KS1236,850.5499953799999,850.5499953799999,164.0,164.0
1,0.9923006458660191,KS6121,842.6478386499998,836.1599945299998,16.0,16.0
250,1.0,KS3676,835.9500045899999,835.9500045899999,444.0,444.0
1325,1.0,KS3441,834.4700007900001,834.4700007900001,6338.0,6338.0
1936,0.9818312500656442,KS6226,848.71000458,833.2900047400001,6555.0,6555.0
1919,1.0,KS7232,828.3099994800001,828.3099994800001,14949.0,14949.0
311,1.0,KS1101,828.1900050900001,828.1900050900001,4037.0,4037.0
1,1.0,KS3718,824.1700011400001,824.1700011400001,2.0,2.0
2155,1.0,KS7232,810.80998111,810.80998111,15484.0,15484.0
513,1.0,KS3441,809.6799964200001,809.6799964200001,4054.0,4054.0
38,1.0,KS5039,808.23000359,808.23000359,750.0,750.0
27,1.0,KS6173,798.65999795,798.65999795,248.0,248.0
2776,1.0,KS7232,794.5599947000001,794.5599947000001,16528.0,16528.0
1784,1.0,KS3441,794.0699996999998,794.0699996999998,7291.0,7291.0
1004,1.0,KS6173,793.93000315,793.93000315,3915.0,3915.0
816,1.0,KS3441,790.8700079399999,790.8700079399999,5013.0,5013.0
18,1.0,KS3704,788.9400027900002,788.9400027900002,81.0,81.0
136,1.0,KS5014,788.3399967600002,788.3399967600002,335.0,335.0
